daily_date,share_code,year_high_gh,year_low_gh,previous_closing_price_vwap_gh,opening_price_gh,last_transaction_price_gh,closing_price_vwap_gh,price_change_gh,closing_bid_price_gh,closing_offer_price_gh,total_shares_traded,total_value_traded_gh
2025-08-27,ACCESS,14.899999999999999,5.2,13.825,13.825,13.825,13.825,0,0,3.85,158,462.5
2025-08-27,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0,5.06,0,0,0
2025-08-27,AGA,14.899999999999999,13.224999999999998,13.825,13.825,13.825,13.825,0,12.649999999999999,0,0,0
2025-08-27,**ALW**,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0
2025-08-27,ASG,8.89,8.89,8.89,8.89,8.89,8.89,0,8.89,0,0,0
2025-08-27,ALLGH,6.119999999999999,6.12,6.12,6.12,6.12,6.12,0,0,3.85,250,462.5
2025-08-27,BOPP,14.899999999999999,13.224999999999998,13.825,13.825,13.825,13.825,0,12.649999999999999,0,0,0
2025-08-27,CAL,0.8,0.35,0.5,0.5,0.51,0.51,0,0.5,0.51,250,462.5
2025-08-27,CLYD,0.11,0.03,0.11,0.11,0.11,0.11,0,0.12,0,0,0
2025-08-27,CMLT,0.14,0.14,0.14,0.14,0.14,0.14,0,0.15,0,0,0
2025-08-27,CPC,0.03,0.02,0.03,0.03,0.03,0.03,0,0.03,0,0,0
2025-08-27,DASPHARMA,0.38,0.38,0.38,0.38,0.38,0.38,0,0.38,0,0,0
2025-08-27,EGH,9.02,6.25,9.02,9.02,9.02,9.02,0,9.04,0,0,0
2025-08-27,EGL,2.9,1.98,2.9,2.9,2.9,2.9,0,2.9,2.95,0,0
2025-08-27,ETI,0.9,0.31,0.77,0.77,0.77,0.77,0,0.7,0.77,250,462.5
2025-08-27,FML,4.41,3.7,4.41,4.41,4.41,4.41,0,4.41,0,0,0
2025-08-27,GCB,10,6.37,9.85,9.85,9.96,9.96,0,10.01,0,250,462.5
2025-08-27,GGBL,6.05,5.5,6.05,6.05,6.05,6.05,0,5.46,3.85,250,462.5
2025-08-27,GOIL,2.2800000000000002,1.52,2.28,2.28,2.28,2.28,0,2.3,0,0,0
2025-08-27,MAC,5.38,5.38,5.38,5.38,5.38,5.38,0,0,0,0,0
2025-08-27,MTNGH,3.98,2.5,3.88,3.88,3.88,3.88,0,3.7,3.85,250,462.5
2025-08-27,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0
2025-08-27,RBGH,1.1,0.6,1.1,1.1,1.1,1.1,0,0,1.1,250,462.5
2025-08-27,SCB,14.899999999999999,13.224999999999998,13.825,13.825,13.825,13.825,0,12.649999999999999,0,0,0
2025-08-27,SIC,1.1400000000000001,0.27,1.05,1.05,1.05,1.05,0,1,1.05,250,462.5
2025-08-27,SOGEGH,2.06,1.5,2,2,2,2,0,2.01,0,0,0
2025-08-27,TBL,1.1,0.83,1.1,1.1,1.1,1.1,0,1.2,0,0,0
2025-08-27,TOTAL,14.899999999999999,13.12,13.825,13.825,13.825,13.825,0,0,3.85,250,462.5
2025-08-27,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0,11.92,0,0,0
2025-08-27,UNIL,14.899999999999999,13.224999999999998,13.825,13.825,13.825,13.825,0,12.649999999999999,3.85,0,0
2025-08-27,AADS,0.41000000000000003,0.41,0.41,0.41,0.41,0.41,0,0.41,0,0,0
2025-08-27,SCBPREF,0.9,0.9,0.9,0.9,0.9,0.9,0,0.9,0,0,0
2025-08-27,GLD,14.899999999999999,13.224999999999998,13.825,13.825,13.825,13.825,0,0,3.85,250,462.5
2025-08-27,SAMBA,0.55,0.55,0.55,0.55,0.55,0.55,0,0,0,0,0
2025-08-27,MMH,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0
2025-08-27,HORDS,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0
2025-08-27,IIL,0.05,0.04,0.05,0.05,0.05,0.05,0,0,0.05,0,0
2025-08-27,DIGICUT,0.09,0.09,0.09,0.09,0.09,0.09,0,0,0.09,0,0
2025-08-26,ACCESS,14.899999999999999,5.2,13.825,13.825,13.825,13.825,0,0,3.85,250,462.5
2025-08-26,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0,5.06,0,3,15.18
2025-08-26,AGA,14.899999999999999,13.224999999999998,13.825,13.825,13.825,13.825,0,12.649999999999999,0,0,0
2025-08-26,**ALW**,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0
2025-08-26,ASG,8.89,8.89,8.89,8.89,8.89,8.89,0,8.89,0,0,0
2025-08-26,ALLGH,6.119999999999999,6.12,6.12,6.12,6.12,6.12,0,0,3.85,250,462.5
2025-08-26,BOPP,14.899999999999999,13.224999999999998,13.825,13.825,13.825,13.825,0,12.649999999999999,0,0,0
2025-08-26,CAL,0.8,0.35,0.5,0.5,0.5,0.5,0,0.48,0.5,250,462.5
2025-08-26,CLYD,0.11,0.03,0.11,0.11,0.11,0.11,0,0.11,0,0,0
2025-08-26,CMLT,0.14,0.14,0.14,0.14,0.14,0.14,0,0.15,0,0,0
2025-08-26,CPC,0.03,0.02,0.03,0.03,0.03,0.03,0,0.03,0,0,0
2025-08-26,DASPHARMA,0.38,0.38,0.38,0.38,0.38,0.38,0,0.38,0,125,47.5
2025-08-26,EGH,9.02,6.25,8.91,8.91,9.02,9.02,0,9.03,0,250,462.5
2025-08-26,EGL,2.9,1.98,2.9,2.9,2.9,2.9,0,2.9,0,0,0
2025-08-26,ETI,0.9,0.31,0.78,0.78,0.77,0.77,0,0.74,0.77,250,462.5
2025-08-26,FML,4.41,3.7,4.41,4.41,4.41,4.41,0,4.41,0,130,462.5
2025-08-26,GCB,10,6.37,9.85,9.85,9.85,9.85,0,9.93,0,250,462.5
2025-08-26,GGBL,6.05,5.5,6.05,6.05,6.05,6.05,0,5.46,3.85,43,260.15000000000003
2025-08-26,GOIL,2.2800000000000002,1.52,2.27,2.27,2.28,2.28,0,2.28,0,250,462.5
2025-08-26,MAC,5.38,5.38,5.38,5.38,5.38,5.38,0,0,0,0,0
2025-08-26,MTNGH,3.98,2.5,3.89,3.89,3.87,3.88,0,3.8,3.85,250,462.5
2025-08-26,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0
2025-08-26,RBGH,1.1,0.6,1.09,1.09,1.1,1.1,0,1.09,1.1,250,462.5
2025-08-26,SCB,14.899999999999999,13.224999999999998,13.825,13.825,13.825,13.825,0,12.649999999999999,0,250,462.5
2025-08-26,SIC,1.1400000000000001,0.27,1.05,1.05,1.05,1.05,0,0,1.05,250,462.5
