"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"27/08/2025","ACCESS","16.40","5.20","16.36","16.36","16.36","16.36","0.00","0.00","16.36","158.00","2,584.88"
"27/08/2025","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","0.00","0.00"
"27/08/2025","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.00","0.00"
"27/08/2025","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"27/08/2025","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.00","0.00"
"27/08/2025","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","0.00","6.12","521.00","3,188.52"
"27/08/2025","BOPP","34.35","25.26","34.35","34.35","34.35","34.35","0.00","34.40","0.00","0.00","0.00"
"27/08/2025","CAL","0.80","0.35","0.50","0.50","0.51","0.51","0.01","0.50","0.51","71,222.00","36,323.22"
"27/08/2025","CLYD","0.11","0.03","0.11","0.11","0.11","0.11","0.00","0.12","0.00","0.00","0.00"
"27/08/2025","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.00","0.00"
"27/08/2025","CPC","0.03","0.02","0.03","0.03","0.03","0.03","0.00","0.03","0.00","0.00","0.00"
"27/08/2025","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.38","0.00","0.00","0.00"
"27/08/2025","EGH","9.02","6.25","9.02","9.02","9.02","9.02","0.00","9.04","0.00","0.00","0.00"
"27/08/2025","EGL","2.90","1.98","2.90","2.90","2.90","2.90","0.00","2.90","2.95","0.00","0.00"
"27/08/2025","ETI","0.90","0.31","0.77","0.77","0.77","0.77","0.00","0.70","0.77","87,311.00","67,229.47"
"27/08/2025","FML","4.41","3.70","4.41","4.41","4.41","4.41","0.00","4.41","0.00","0.00","0.00"
"27/08/2025","GCB","10.00","6.37","9.85","9.85","9.96","9.96","0.11","10.01","0.00","1,000.00","9,960.00"
"27/08/2025","GGBL","6.05","5.50","6.05","6.05","6.05","6.05","0.00","5.46","6.05","705.00","4,265.25"
"27/08/2025","GOIL","2.28","1.52","2.28","2.28","2.28","2.28","0.00","2.30","0.00","0.00","0.00"
"27/08/2025","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0.00","0.00","0.00","0.00","0.00"
"27/08/2025","MTNGH","3.98","2.50","3.88","3.88","3.88","3.88","0.00","3.70","3.88","119,494.00","463,636.72"
"27/08/2025","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"27/08/2025","RBGH","1.10","0.60","1.10","1.10","1.10","1.10","0.00","0.00","1.10","15,845.00","17,429.50"
"27/08/2025","SCB","28.01","23.00","28.01","28.01","28.01","28.01","0.00","28.01","0.00","0.00","0.00"
"27/08/2025","SIC","1.14","0.27","1.05","1.05","1.05","1.05","0.00","1.00","1.05","102,563.00","107,691.15"
"27/08/2025","SOGEGH","2.06","1.50","2.00","2.00","2.00","2.00","0.00","2.01","0.00","0.00","0.00"
"27/08/2025","TBL","1.10","0.83","1.10","1.10","1.10","1.10","0.00","1.20","0.00","0.00","0.00"
"27/08/2025","TOTAL","33.25","13.12","31.93","31.93","31.93","31.93","0.00","0.00","31.93","6,192.00","197,710.56"
"27/08/2025","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","11.92","0.00","0.00","0.00"
"27/08/2025","UNIL","20.50","19.50","20.40","20.40","20.40","20.40","0.00","20.40","20.49","0.00","0.00"
"27/08/2025","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0.00","0.41","0.00","0.00","0.00"
"27/08/2025","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","0.00","0.00","0.00"
"27/08/2025","GLD","508.31","338.83","378.53","378.53","388.80","388.40","9.87","0.00","378.00","2,839.00","1,102,669.17"
"27/08/2025","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.00","0.00","0.00","0.00"
"27/08/2025","MMH","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
