model_name,stock_code,model_type,mae,rmse,mape,directional_accuracy
AGA ARIMA,AGA,ARIMA,0.10565384615384626,1.2046391895182054,117.39316239316251,98.44961240310077
ASG ARIMA,ASG,ARIMA,0.06769230769230783,0.7718110569901854,75.21367521367533,98.44961240310077
BOPP ARIMA,BOPP,ARIMA,0.5684160456235426,1.373229125479672,126.83577899625776,0.7751937984496124
CAL ARIMA,CAL,ARIMA,0.16724643076203446,0.19320654533923853,28.289585414301982,48.837209302325576
CLYD ARIMA,CLYD,ARIMA,0.045615384615384634,0.050237895595318834,55.099234099234096,91.47286821705426
CMLT ARIMA,CMLT,ARIMA,0.005570503025597268,0.007795867863061274,4.156033222782969,0.7751937984496124
CPC ARIMA,CPC,ARIMA,7.692307692307679e-4,0.006324555320336753,1.3675213675213704,97.67441860465115
DASPHARMA ARIMA,DASPHARMA,ARIMA,0.002230769230769231,0.025434682559903842,2.4786324786324827,98.44961240310077
EGL ARIMA,EGL,ARIMA,0.6154583650565216,0.6816951158119918,38.44724008239076,4.651162790697675
ETI ARIMA,ETI,ARIMA,0.2568349781902937,0.3305129756470204,40.39196718688556,10.852713178294573
