model_name,stock_code,model_type,mae,rmse,mape,directional_accuracy
CAL ARIMA,CAL,ARIMA,0.07915484983279743,0.09762297455416348,11.031031330213928,76.2402088772846
GCB ARIMA,GCB,ARIMA,0.5990036530545245,0.7661218306983604,14.718841849542166,79.24281984334203
GCB Linear,GCB,Linear Regression,0.011701077039009527,0.025365711106098504,0.2750668982136037,11.731044349070102
GCB RF,GCB,Random Forest,0.03428570116487595,0.055237069847642074,0.7654537420103436,25.168236877523555
CMLT ARIMA,CMLT,ARIMA,0.01672750977835723,0.01776641133086744,15.378689107502682,99.60835509138381
CMLT Linear,CMLT,Linear Regression,Inf,Inf,Inf,62.61980830670927
FML ARIMA,FML,ARIMA,1.5363876749980436,1.8828811117627444,105.7585133059305,46.21409921671018
SCB ARIMA,SCB,ARIMA,0,0,0,100
SCB Linear,SCB,Linear Regression,1.4739593002601062e-13,1.4742090260031234e-13,1.8197028398272917e-12,59.92167101827677
SCB RF,SCB,Random Forest,1.4210854715202004e-14,1.4210854715202004e-14,1.7544265080496303e-13,100
AGA ARIMA,AGA,ARIMA,0,0,0,100
AGA Linear,AGA,Linear Regression,7.103111377367104e-14,7.103139958937201e-14,8.769273305391487e-13,99.73890339425587
AGA RF,AGA,Random Forest,1.4210854715202004e-14,1.4210854715202004e-14,1.7544265080496303e-13,100
BOPP ARIMA,BOPP,ARIMA,1.814743813323206,2.477923566482023,35.97978532073069,1.1749347258485638
ETI ARIMA,ETI,ARIMA,0.0328552805803606,0.047689783479712596,25.931469236355714,94.90861618798957
ETI Linear,ETI,Linear Regression,0.0019326996135193863,0.0031344639424529665,2.0147240627514296,12.631578947368421
ETI RF,ETI,Random Forest,0.010493971679114552,0.014472938612189483,15.176440082341964,50.280112044817926
GGBL ARIMA,GGBL,ARIMA,0.4207916223983476,0.495049303899809,33.47631315108484,34.595300261096604
GGBL Linear,GGBL,Linear Regression,0.009341343813192545,0.02096477509013921,0.6582988195350713,31.639344262295083
GGBL RF,GGBL,Random Forest,0.03403250652557353,0.05140317971395967,2.6807829878612672,55.78635014836796
UNIL ARIMA,UNIL,ARIMA,1.8679269882673366,2.5442660947498323,45.479244660702086,1.95822454308094
